상품명,가격,성분,나이,피부타입,피부고민,랭킹,리뷰수
비오텀 클렌징 밀크 200ml,27800,"전성분:정제수,해바라기하이브리드오일*,우유/유청*,펜틸렌글라이콜,C14-22알코올,9.세틸알코올,글리세릴스테아레이트,10.코코글루코사이드,판테놀,C12-20알킬글루코사이드,잔탄검,11.폴리글리세릴-6팔미테이트,/석시네이트,해바라기씨오일,토코페롤,오리자놀,바닐라열매추출물,락틱애씨드(0.1%),베르가모트열매오일",30대,"건성, 복합성",None,21,2110
[더블기획] 마녀공장 갈락 필링젤 120ml X2 기획,35000,"정제수, 다이프로필렌글라이콜, 셀룰로오스, 프로필렌글라이콜, 쿼터늄-60, 카보머, 1,2-헥산다이올, 갈락토미세스발효여과물, 소듐하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 파파인, 말토덱스트린, 카프릴릴글라이콜, 알란토인, 자일리틸글루코사이드, 안하이드로자일리톨, 자일리톨, C12-14파레스-12, 글루코노락톤, 글루코오스, 소듐메타바이설파이트, 오렌지껍질오일, 광곽향오일, 일랑일랑꽃오일, 다이소듐이디티에이, 리모넨",20대,복합성,None,22,1058
마녀공장 퓨어 클렌징 오일 기획 (400ml+55ml),35000,"돌콩오일, 유럽개암씨오일, 솔베스-30테트라올리에이트, 포도씨오일, 올리브오일, 카프릴릭/카프릭트라이글리세라이드, 식물성스쿠알란, 아이소아밀라우레이트, 동백나무씨오일, 달맞이꽃오일, 호호바씨오일, 해바라기씨오일, 아르간커넬오일, 바바수씨오일, 비누풀잎추출물, 녹차추출물, 쌀겨오일, 쌀발효여과물, 데실글루코사이드, 은행나무잎추출물, 라벤더오일, 알로에베라잎추출물, 오렌지오일, 티트리잎오일, 토코페롤",30대,복합성,None,23,19307
그레이멜린 카놀라크레이지 클렌징오일 더블 기획,18000,"카놀라오일,솔베스-30테트라올리에이트,호호바씨오일,퀸즈랜드넛오일,올리브오일,솔비탄세스퀴올리에이트,향료,리모넨",20대,복합성,None,24,1896
에스트라 아토베리어365 버블클렌저 150ml 더블기획,36000,"정제수, 글리세린, 솔비톨, 프로판다이올, 코코-글루코사이드, 카프릴릴/카프릴글루코사이드, 다이소듐코코암포다이아세테이트, 다이소듐코코일글루타메이트, 소듐클로라이드, 시트릭애씨드, 글리세릴카프릴레이트, 다이소듐이디티에이, 에틸헥실글리세린, 부틸렌글라이콜, 토코페롤, 녹차추출물",30대,"건성, 복합성",None,25,2127
[증량] 메이크프렘 세이프 미 릴리프 모이스처 클렌징 밀크 500ml,42000,"정제수,올리브오일,잇꽃씨오일,아이소펜틸다이올,글리세린,글리세릴스테아레이트,데실글루코사이드,아라키딜알코올,1,2-핵산다이올,돌콩단백질,백미꽃추출물,메도우폼씨오일,세라마이드엔피,하이드롤라이즈드하이알루로닉애씨드,소듐하이알루로네이트,판테놀,토코페롤,알란토인,알지닌,에틸헥실글리세린,잔탄검,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,비스-에톡시다이글라이콜석시네이트,아라키딜글루코사이드,글루코오스,하이드록시아세토페논,베타인살리실레이트,세테아릴알코올,베헤닐알코올,시트릭애씨드,베르가모트오일,클레리오일",30대,"건성, 복합성",None,26,693
[조효진 Pick] 마녀공장 딥 클리어 클렌징 밤 기획(132ml+14ml),24000,"에틸헥실팔미테이트, 솔베스-30테트라올리에이트, 아이소도데케인, 세틸에틸헥사노에이트, 합성왁스, 돌콩오일, 올리브오일, 스쿠알란, 아르간커넬오일, 동백나무씨오일, 마카다미아씨오일, 메도우폼씨오일, 호두오일, 당근씨오일, 녹차씨오일, 귀리커넬오일, 스위트아몬드오일, 드럼스틱씨오일, 마트리카리아꽃오일, 코코넛야자오일, 호호바씨오일, 판테놀, 글리세린, 당느릅나무뿌리추출물, 칡뿌리추출물, 대왕소나무잎추출물, 달맞이꽃꽃추출물, 하이알루로닉애씨드, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 파파인, 카프릴로일살리실릭애씨드, 알란토인, 나이아신아마이드, 아스코빅애씨드, 토코페롤, 사과추출물, 사탕무뿌리추출물, 당근추출물, 무화과추출물, 정제수, 세라마이드엔피, 부틸렌글라이콜, 하이드로제네이티드레시틴, 피토스핑고신, 향료, 1,2-헥산다이올, 실리카다이메틸실릴레이트",20대,"건성, 복합성",None,27,972
[한정수량] 키스미 히로인메이크 스피디 마스카라 리무버 더블 기획,26000,"아이소헥사데칸, 트라이에틸헥사노인, 아이소도데케인, 미네랄오일, 피이지-15/라우릴다이메티콘크로스폴리머, 부틸렌글라이콜, C30-45알킬메티콘, C30-45올레핀, 토코페롤, 프로필파라벤, 동백나무씨오일, 스위트아몬드오일, 스쿠알란, 아르간커넬오일, 로즈힙열매오일, 인삼추출물, 로얄젤리추출물",20대,복합성,None,28,8682
워시비 블랙헤드 오일 150ml,39000,"해바라기씨오일, 포도씨오일, 살구씨오일, 티트리추출물, 폴리글리세릴-4카프레이트, 아이소아밀라우레이트, 글루코노락톤, 살리실릭애씨드, 하이드로제네이티드식물성오일, 티타릭애씨드, 호호바씨오일, 녹차씨오일, 애기똥풀추출물, 약모밀추출물, 1,2-헥산다이올, 토코페롤, 호호바에스터, 락토바실러스발효여과물, 향료, 카프릴로일살리실릭애씨드, 에틸헥실글리세린, 그린와틀꽃왁스, 폴리글리세린-3",20대,"지성, 복합성",None,29,72
[단독기획] 넘버즈인 2번 딥클린 생크림 클렌징폼 더블 기획 (120ml+120ml),14000,"정제수, 미리스틱애씨드, 피이지-8, 스테아릭애씨드, 포타슘하이드록사이드, 글리세린, 라우릭애씨드, 팔미틱애씨드, 퀼라자껍질추출물, 부틸렌글라이콜, 코코-글루코사이드, 글리세릴스테아레이트에스이, 폴리쿼터늄-7, 아라키딕애씨드, 소듐코코일이세티오네이트, 소듐파이테이트, 올레익애씨드, 1,2-헥산다이올, 시트릭애씨드, 소듐벤조에이트, 향료",30대,복합성,None,30,2052
