상품명,가격,성분,나이,피부타입,피부고민,랭킹,리뷰수
플리프 시카-알로에 프레쉬 수분크림 150ml 기획세트(+50ml 증정),21000,"알로에베라잎추출물,에탄올,글리세린,병풀추출물,베타인,부틸렌글라이콜,나이아신아마이드,다이카프릴릴카보네이트,녹차추출물,애플민트잎추출물,버지니아풍년화잎추출물,레몬밤잎추출물,카멜그라스추출물,대왕송잎추출물,당느릅나무뿌리추출물,달맞이꽃추출물,칡뿌리추출물,아시아티코사이드,마데카식애씨드,아시아틱애씨드,하이 드로제네이티드레시틴,정제수,폴리글리세릴-10올리에이트,다이프로필렌글라이콜,소듐하이알루로네이트,소듐하이알루로네이트크로스폴리 머,하이드롤라이즈드하이알루로닉애씨드,하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,마카다미아씨오일,세라마이드엔피, 스쿠알란,세테아릴알코올,라이신,히스티딘,알지닌,아스파틱애씨드,트레오닌,세린,글루타믹애씨드,프롤린,글라이신,알라닌,발린,메티오닌,아이소류신,류신,타이로신,페닐알라닌,시스테인,폴리메틸메타크릴레이트,다이글리세린,자일리톨,알란토인,암모늄아크릴로일다이메틸타 우레이트/브이피코폴 리머,잔탄검,카보머,아데노신,트로메타민,다이소듐이디티에이,1,2-헥산다이올,하이드록시아세토페논,에틸헥실글리 세린,레몬오일,오렌지껍질오일,베르가모트오일,리모넨",20대,"건성, 복합성","보습, 진정",74,486
[덱스 PICK]오브제 퍼펙트 옴므 쿠션 15g (SPF50+PA++++),34900,"정제수@사이클로펜타실록세인@티타늄디옥사이드@에칠헥실메톡시신나메이트@부틸렌글라이콜@에칠헥실살리실레이트@징크옥사이드@아이소도데케인@트라이메틸실록시실리케이트@라우릴피이지-9폴리다이메틸 실록시에틸다이메티콘@나이아신아마이드@C12-15알킬벤조에이트@디에칠아미노하이드록시벤조일헥실벤조에이트@마그네슘설페이트@아크릴레이트/스테아릴아크릴레이트/다이메티콘메 타크릴레이트코폴리머@피이지-10다이메티콘@에난티아 클로란타껍질추출물@쌀겨추출물@복숭아추출물@쌀추출물@티트리추출물@흰서양송로추출물@편백잎추출물@보리지씨오일@유칼립투스잎오일@해바라기씨오일@합성플루오르플로고파이트@다이스테아다이모늄헥토라이트@비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리 머@바륨설페이트@알루미늄하이드록사이드@카프릴릴글라 이콜@글리세릴카프릴레이트@아미노프로필다이메티콘@폴리메틸실세스퀴옥세인@스테아릭애씨드@다이메티콘@트라이에톡시카프릴릴실레인@알루미나@실리카@아데노신@스테아릴다이메티콘@마그네슘미리스테이트@베타인@스쿠알란@콘민트가루@올레아놀릭애씨드@토코페롤@글리세린@1,2-헥산다이올@향료@황색산화철@적색산화철@흑색산화철",20대,"지성, 건성",None,75,260
포맨트 시그니처 올인원 에센스 모이스처 플러스 150ml,29000,"정제수, 부틸렌글라이콜, 글리세린, 글리세레스-26, 메틸프로판다이올, 나이아신아마이드, 스쿠알란, 폴리글리세릴-4카프레이트, 트레할로오스, 글리세레스-25피씨에이아이소스테아레이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 카프릴릴글라이콜, 암모늄아크릴로일다이메틸타우레이트/베헤네스- 25메타크라일레이 트크로스폴리머, 펜틸렌글라이콜, 하이드록시아세토페논, 카프릴릭/카프릭트라이글리세라이드, 다이메티콘/비닐다이메티콘크로스폴리머, 1,2-헥산다이올, 향료, 하이드로제네이티드레시틴, 에틸헥실글리세린, 올리브오일, 아데노신, 시어버터, 소듐하이알루로네이트, 잔탄검, 다이소듐이디티에이, 실리카, 세라마이드엔피, 병풀추출물, 황금추출물, 호장근뿌리추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 대왕송잎추출물, 칡뿌리추출물, 당느릅나무뿌리추출물, 달맞이꽃추출물, 하이드롤라이즈드하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 팔미토일트라이펩타이드-5, 팔미토일 펜타펩타이드-4, 팔미토일트라이펩타이드-1, 팔미토일올리고펩타이드, 팔미토일테트라펩타이드-7, 트라이펩타이드-1, 헥사펩타이드-9,  노나펩타이드-1, 아세틸테트라펩타이드-2, 카퍼트라이펩타이드-1, 아세틸헥사펩타이드-8",20대,"건성, 복합성",보습,76,208
라끌랑 올데이 파워 픽스쿠션 2호 15g,37000,"정제수, 티타늄디옥사이드(CI77891), 사이클로펜타실록산, 트리메칠실록시실리케이트, 부틸렌글라이콜, 페닐트리메치콘, 이소도데칸, 디메치콘, 폴리프로필실세스퀴옥산황색산화철(CI77492), 나이아신아마이드, 1,2-헥산디올피이지/피피지-18/18디메치콘, 피이지-9폴리디메칠실록시에칠디메치콘, 클로렐라추출물, 위치하겔수, 에난티아 클로란타껍질추출물,  폴리글리세릴-3디이소스테아레이트, 마그네슘설페이트, 폴리하이드록시스테아릭애씨드, 폴리메칠실세스퀴옥산, 글리세릴카프릴레이트,  트리에톡시카프릴릴실란, 알루미늄하이드록사이드, 스테아릭애씨드, 옥틸도데칸올, 알루미나, 디스테아디모늄헥토라이트, 글루코오스프 룩토올리고사카라이드, 프룩토오스, 아데노신, 폴리글리세릴-4이소스테아레이트, 트리소듐에칠렌디아민디석시네이트, 이소프로필티타늄 트리이소스테아레이트, 에칠헥실글리세린, 올레아놀릭애씨드, 향료, 리모넨, 리날룰, 적색산화철(CI77491), 흑색산화철(CI77499)",20대,건성,None,81,12
비레디 블루 수분 선크림 50ml 기획세트 (+20ml 증정),25000,"정제수, 부틸렌글라이콜, 호모살레이트, 에칠헥실살리실레이트, 변성알코올, 비스-에칠헥실옥시페놀메톡시페닐트리아진, 디에칠아미노하이드록시벤조일헥실벤조에이트, 실리카, 세틸에틸헥사노에이트, 에칠헥실트리아존, 테레프탈릴리덴디캠퍼설포닉애씨드, 트로메타민, 메틸트라이메티콘, 다이아이소프로필세바케이트, 세테아릴알코올, 하이 드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 포타슘세틸포스페이트, 1,2-헥산다이올, 하이드록시프로필스타치포스페이트, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 글리세릴스테아레이트, 하이드로제네이티드레시틴, 향료, 에틸헥실글리세린, 스테아릭애씨드, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 팔미틱애씨드, 다이소듐이디티에이, 솔비탄아이소스테아레이트,  티타늄디옥사이드 (CI 77891), 마이카, 징크옥사이드, 에탄올, 인디고잎추출물, 마트리카리아꽃추출물, 미리스틱애씨드, 프로판다이올, 라우릭애씨드, 말라카이트추출물, 소듐하이알루로네이트, 틴옥사이드, 토코페롤, 소듐라우로일글루타메이트, 하이드롤라이즈드하이알루 로닉애씨드, 라이신, 소듐하이알루로네이트크로스폴리머, 마그네슘클로라이드, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이 트",20대,"건성, 복합성",None,87,128
우르오스 올인원 스킨컨디셔너 60g,25000,"■ 전성분 - 정제수, 사이클로펜타실록세인, 에탄올, 하이드로제네이티드폴리아이소부텐, 글리세린, 다이프로필렌글라이콜, 펜틸렌글라이콜, 아이소스테아릴네오펜타노에이트, 마카다미아씨오일, 다이메티콘, 아미노메틸프로판다이올, 다이글리세린, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 아데노신포스페이트, 글리세릴글루코사이드, 쿠푸아수씨버터, 소듐폴리아크릴레이트, 페녹시에탄올, 아미노프로필다이메티콘, 잔탄검, 토코페롤, 다이소듐이디티에이, 다이메티콘/비닐다이메티콘크로스폴리머, 부틸렌글라이콜, 라임전초오일, 라반딘오일, 터펜틴, 후추열매오일, 아틀라스시다나무껍질오일, 구주소나무잎오일, 스타아 니스열매/씨오일, 돌콩배아추출물, 서양측백나무잎오일, 로즈마리잎오일, 페퍼민트오일, 리날룰, 리모넨",30대,복합성,보습,88,502
[종석 pick] 다슈 맨즈 듀얼 트릭 스틱 (컨실러+쉐딩 2 in 1),18000,"(컨실러)
옥틸도데칸올, C12-15알킬벤조에이트, 세틸에틸헥사노에이트, 실리카, 폴리메틸메타크릴레이트, 폴리에틸렌, 오조케라이트, 카프릴릭/카프릭트라이글리세라이드, 펜타에리스리틸테트라아이소스테아레이트, 폴리하이드록시스테아릭애씨드, 메티콘, 토코페롤, 카프릴릴글라이콜, 페녹시에탄올, 펜타에리스리틸테트라-다이-t- 부틸하이드록시하이드로신나메이트, 헥실렌글라이콜, 알로에베라잎즙가루, 티트리잎오일, 호호바씨오일, 마이카, 티타늄디옥사이드, 황 색산화철, 적색산화철, 흑색산화철
(쉐딩)
에틸헥실팔미테이트, 옥틸도데칸올, 실리카, 다이메티콘, 합성왁스, 다이메티콘, 폴리글리 세릴-2트라이아이소스테아레이트, 다이메티콘크로스폴리머, 에틸렌/프로필렌코폴리머, 솔비탄올리베이트, 합성비즈왁스, 메티콘, 1,2-헥산다이올, 다이스테아다이모늄헥토라이트, 마이카, 티타늄디옥사이드, 황색산화철, 적색산화철, 흑색산화철",30대,"지성, 건성",None,90,309
[한정기획] 랩시리즈 데일리 레스큐 워터 로션 200ml 글로벌 기획 (워터로션 30ml2ea 증정),58000,"데일리 레스큐 워터로션 : 정제수 , 부틸렌글라이콜 , 펜틸렌글라이콜 , 글리세린 , 녹차추출물 , 디프로필렌글라이콜 , 갈고리가시우무추출물 , 겔리디엘라 아세로 사추출물 , 하이드롤라이즈드쌀추출물 , 알로에베라잎추출물 , 마텔잎추출물 , 알로에베라잎수 , 카페인 , 판테친 , 아세틸글루코사민 , 갈조추출물 , 폴리소르베이트20 , 소듐바이카보네이트 , 카프릴릴글라이콜 , 디포타슘글리시리제이트 , 아미노프로필아스코빌포스페이 트 , 소듐하이알루로네이트 , 효모폴리사카라이드 , 락토퍼옥시다아제 , 시트릭애씨드 , 글루코오스옥시다아제 , 향료 , 디소듐이디티에이 , 페녹시에탄올 [ILN39297]　*제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.",30대,복합성,"보습, 진정",93,1580
비욘드 엔젤아쿠아 포맨 수분 크림 150ml,20000,"정제수, 글리세린, 부틸렌글라이콜, 카프릴릴메티콘, 나이아신아마이드, 1,2-헥산다이올, 다이페닐실록시페닐트라이메티콘, 하이드로제네이티드폴리데센, 하이드로제네이티드레시틴, 하이드록시에틸우레아, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 다이메티콘/페닐비닐다이메티콘크로스폴리머, 트로메타민, 아데노신, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 트라이소듐이디티에이, 판테놀, 베타-글루칸, 개똥쑥추출물, 님잎추출물, 녹차추출물, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 슈도알테로모나스발효추출물, 포도덩굴수액, 가시대나무수액, 자작나무수액, 하늘타리뿌리추출물, 카프릴릴글라이콜",20대,"건성, 복합성","보습, 진정",96,106
[단독기획] AHC 온리포맨 올인원 에센스 더블 기획 (120ml+120ml),38000,"정제수, 글리세린, 메틸프로판다이올, 1,2-헥산다이올, 나이아신아마이드, 다이메티콘, 카바카바잎/뿌리/줄기추출물, 참마뿌리추출물, 녹차추출물, 검정콩추출물, 마트리카리아꽃/잎추출물, 서양산딸기추출물, 병풀추출물, 락토바실러스/콩발효추출물, 약모밀추출물, 원지뿌리추출물, 도라지뿌리추출물, 흰목이버섯추출물, 은행나무잎추출물, 동백나무잎추출물, 로켓잎추출물, 밀싹추출물, 브로콜리싹추출물, 자주개자리추출물, 검은깨추출물, 율무씨추출물, 흑미추출물, 콘민트잎추출물, 파스향나무잎추출물, 스페인감초뿌리추출물, 작약뿌리추출물, 천궁뿌리추출물, 칡뿌리추출물, 쇠비름추출물, 수용성콜라겐, 수레국화꽃수, 푸른연꽃수, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 알로에베라잎즙, 효모발효여과물, 다이메티콘/비닐다이메티콘크로스폴리머, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 다이페닐다이메티콘, 트라이에틸헥사노인, 부틸렌글라이콜, 시어버터, 글라이코실트레할로오스, 폴리글리세릴-10미리스테이트, 폴리글리세릴-10올리에이트, 하이드로제네이티드스타치하이드롤리세이트, 라피노오스, 아데노신, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 실리카, 다이소듐이디티에이, 트로메타민, 레시틴, 크레아틴, 하이드롤라이즈드루핀단백질, 하이드롤라이즈드하이알루로닉애씨드, 폴리쿼터늄-51, 시트릭애씨드, 바이오사카라이드검-1, 잔탄검, 소르빅애씨드, 향료, 에틸헥실글리세린, 페녹시에탄올",20대,복합성,"보습, 진정",100,223
